Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
06/05/2026 09:24:14,System.Runtime,dotnet.timer.count ({timer}),Metric,3
06/05/2026 09:24:14,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,8730720
06/05/2026 09:24:14,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,18456
06/05/2026 09:24:14,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
06/05/2026 09:24:14,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,66439912
06/05/2026 09:24:14,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
06/05/2026 09:24:14,System.Runtime,dotnet.assembly.count ({assembly}),Metric,133
06/05/2026 09:24:14,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,180363264
06/05/2026 09:24:14,System.Runtime,dotnet.process.memory.working_set (By),Metric,364113920
06/05/2026 09:24:14,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
06/05/2026 09:24:14,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,9128376
06/05/2026 09:24:14,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,1012408
06/05/2026 09:24:14,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
06/05/2026 09:24:14,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,97498728
06/05/2026 09:24:14,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,57192
06/05/2026 09:24:16,System.Runtime,dotnet.jit.compiled_il.size (By / 2 sec),Rate,7327
06/05/2026 09:24:16,System.Runtime,dotnet.gc.heap.total_allocated (By / 2 sec),Rate,48864
06/05/2026 09:24:16,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 2 sec),Rate,0
06/05/2026 09:24:16,System.Runtime,dotnet.timer.count ({timer}),Metric,3
06/05/2026 09:24:16,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 2 sec),Rate,0
06/05/2026 09:24:16,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 2 sec),Rate,0
06/05/2026 09:24:16,System.Runtime,dotnet.jit.compilation.time (s / 2 sec),Rate,0.02199920000000022
06/05/2026 09:24:16,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,8730720
06/05/2026 09:24:16,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,18456
06/05/2026 09:24:16,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
06/05/2026 09:24:16,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,66439912
06/05/2026 09:24:16,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
06/05/2026 09:24:16,System.Runtime,dotnet.assembly.count ({assembly}),Metric,133
06/05/2026 09:24:16,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,180363264
06/05/2026 09:24:16,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 2 sec),Rate,0
06/05/2026 09:24:16,System.Runtime,dotnet.gc.pause.time (s / 2 sec),Rate,0
06/05/2026 09:24:16,System.Runtime,dotnet.process.memory.working_set (By),Metric,364244992
06/05/2026 09:24:16,System.Runtime,dotnet.jit.compiled_methods ({method} / 2 sec),Rate,88
06/05/2026 09:24:16,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
06/05/2026 09:24:16,System.Runtime,dotnet.process.cpu.time (s / 2 sec)[cpu.mode=system],Rate,0
06/05/2026 09:24:16,System.Runtime,dotnet.process.cpu.time (s / 2 sec)[cpu.mode=user],Rate,0.022669999999999746
06/05/2026 09:24:16,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,9128376
06/05/2026 09:24:16,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,1012408
06/05/2026 09:24:16,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
06/05/2026 09:24:16,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,97498728
06/05/2026 09:24:16,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,57192
06/05/2026 09:24:16,System.Runtime,dotnet.gc.collections ({collection} / 2 sec)[gc.heap.generation=gen1],Rate,0
06/05/2026 09:24:16,System.Runtime,dotnet.gc.collections ({collection} / 2 sec)[gc.heap.generation=gen0],Rate,0
06/05/2026 09:24:16,System.Runtime,dotnet.gc.collections ({collection} / 2 sec)[gc.heap.generation=gen2],Rate,0
06/05/2026 09:24:18,System.Runtime,dotnet.jit.compiled_il.size (By / 2 sec),Rate,1075
06/05/2026 09:24:18,System.Runtime,dotnet.gc.heap.total_allocated (By / 2 sec),Rate,24592
06/05/2026 09:24:18,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 2 sec),Rate,0
06/05/2026 09:24:18,System.Runtime,dotnet.timer.count ({timer}),Metric,2
06/05/2026 09:24:18,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 2 sec),Rate,3
06/05/2026 09:24:18,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 2 sec),Rate,0
06/05/2026 09:24:18,System.Runtime,dotnet.jit.compilation.time (s / 2 sec),Rate,0.0026805999999997
06/05/2026 09:24:18,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,8730720
06/05/2026 09:24:18,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,18456
06/05/2026 09:24:18,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
06/05/2026 09:24:18,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,66439912
06/05/2026 09:24:18,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
06/05/2026 09:24:18,System.Runtime,dotnet.assembly.count ({assembly}),Metric,133
06/05/2026 09:24:18,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,180363264
06/05/2026 09:24:18,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 2 sec),Rate,0
06/05/2026 09:24:18,System.Runtime,dotnet.gc.pause.time (s / 2 sec),Rate,0
06/05/2026 09:24:18,System.Runtime,dotnet.process.memory.working_set (By),Metric,364253184
06/05/2026 09:24:18,System.Runtime,dotnet.jit.compiled_methods ({method} / 2 sec),Rate,21
06/05/2026 09:24:18,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
06/05/2026 09:24:18,System.Runtime,dotnet.process.cpu.time (s / 2 sec)[cpu.mode=system],Rate,2.6999999999999247E-05
06/05/2026 09:24:18,System.Runtime,dotnet.process.cpu.time (s / 2 sec)[cpu.mode=user],Rate,0.00449500000000036
06/05/2026 09:24:18,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,9128376
06/05/2026 09:24:18,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,1012408
06/05/2026 09:24:18,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
06/05/2026 09:24:18,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,97498728
06/05/2026 09:24:18,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,57192
06/05/2026 09:24:18,System.Runtime,dotnet.gc.collections ({collection} / 2 sec)[gc.heap.generation=gen1],Rate,0
06/05/2026 09:24:18,System.Runtime,dotnet.gc.collections ({collection} / 2 sec)[gc.heap.generation=gen0],Rate,0
06/05/2026 09:24:18,System.Runtime,dotnet.gc.collections ({collection} / 2 sec)[gc.heap.generation=gen2],Rate,0
06/05/2026 09:24:20,System.Runtime,dotnet.jit.compiled_il.size (By / 2 sec),Rate,6517
06/05/2026 09:24:20,System.Runtime,dotnet.gc.heap.total_allocated (By / 2 sec),Rate,40904
06/05/2026 09:24:20,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 2 sec),Rate,0
06/05/2026 09:24:20,System.Runtime,dotnet.timer.count ({timer}),Metric,2
06/05/2026 09:24:20,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 2 sec),Rate,0
06/05/2026 09:24:20,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 2 sec),Rate,0
06/05/2026 09:24:20,System.Runtime,dotnet.jit.compilation.time (s / 2 sec),Rate,0.029275699999999905
06/05/2026 09:24:20,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,8730720
06/05/2026 09:24:20,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,18456
06/05/2026 09:24:20,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
06/05/2026 09:24:20,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,66439912
06/05/2026 09:24:20,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
06/05/2026 09:24:20,System.Runtime,dotnet.assembly.count ({assembly}),Metric,133
06/05/2026 09:24:20,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,180363264
06/05/2026 09:24:20,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 2 sec),Rate,0
06/05/2026 09:24:20,System.Runtime,dotnet.gc.pause.time (s / 2 sec),Rate,0
06/05/2026 09:24:20,System.Runtime,dotnet.process.memory.working_set (By),Metric,364318720
06/05/2026 09:24:20,System.Runtime,dotnet.jit.compiled_methods ({method} / 2 sec),Rate,82
06/05/2026 09:24:20,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
06/05/2026 09:24:20,System.Runtime,dotnet.process.cpu.time (s / 2 sec)[cpu.mode=system],Rate,0.0020279999999999743
06/05/2026 09:24:20,System.Runtime,dotnet.process.cpu.time (s / 2 sec)[cpu.mode=user],Rate,0.02769399999999944
